Week,GlutenFree,Vegan,DairyFree,Kosher,GMO
4/15/12,28,25,2,7,3
4/22/12,29,26,2,7,4
4/29/12,28,25,2,7,3
5/6/12,31,25,2,7,2
5/13/12,29,25,2,7,3
5/20/12,29,25,2,8,3
5/27/12,30,26,2,6,2
6/3/12,28,26,2,8,2
6/10/12,30,26,3,8,2
6/17/12,30,27,2,9,3
6/24/12,30,30,3,8,3
7/1/12,31,30,3,9,2
7/8/12,30,28,2,8,2
7/15/12,30,27,2,8,3
7/22/12,30,27,2,8,2
7/29/12,32,27,2,8,2
8/5/12,32,26,3,9,3
8/12/12,33,26,2,8,3
8/19/12,33,26,2,10,3
8/26/12,31,26,3,8,3
9/2/12,32,27,3,8,3
9/9/12,31,25,3,8,3
9/16/12,31,26,2,6,6
9/23/12,33,26,3,6,7
9/30/12,35,24,3,6,6
10/7/12,32,26,3,6,5
10/14/12,34,25,3,7,5
10/21/12,32,24,3,7,6
10/28/12,32,23,2,6,5
11/4/12,30,24,3,6,11
11/11/12,36,28,3,8,6
11/18/12,45,35,4,11,4
11/25/12,29,24,2,7,5
12/2/12,32,25,3,7,5
12/9/12,32,26,3,8,4
12/16/12,37,28,3,7,3
12/23/12,38,31,3,10,2
12/30/12,37,33,3,8,4
1/6/13,35,30,3,7,4
1/13/13,33,31,3,7,4
1/20/13,33,30,3,8,4
1/27/13,34,29,3,8,5
2/3/13,34,30,3,7,5
2/10/13,35,30,3,7,4
2/17/13,34,30,3,7,5
2/24/13,34,29,3,7,5
3/3/13,36,30,3,8,6
3/10/13,37,33,3,9,7
3/17/13,37,31,3,12,6
3/24/13,39,30,4,18,10
3/31/13,35,29,3,8,8
4/7/13,34,28,3,6,8
4/14/13,33,27,3,6,8
4/21/13,35,27,3,7,8
4/28/13,33,28,3,7,7
5/5/13,34,27,3,6,7
5/12/13,35,27,3,6,8
5/19/13,35,28,3,8,12
5/26/13,35,28,3,7,17
6/2/13,36,27,3,8,12
6/9/13,37,27,3,8,9
6/16/13,37,28,3,7,9
6/23/13,37,26,3,8,8
6/30/13,39,29,3,9,6
7/7/13,37,27,3,8,7
7/14/13,37,27,3,8,7
7/21/13,38,28,3,9,7
7/28/13,40,27,3,8,7
8/4/13,40,28,3,9,7
8/11/13,41,28,3,9,7
8/18/13,39,27,3,9,6
8/25/13,37,26,3,8,6
9/1/13,37,28,3,7,6
9/8/13,36,27,3,9,6
9/15/13,36,27,3,7,6
9/22/13,37,28,3,7,6
9/29/13,36,26,3,7,6
10/6/13,39,27,3,7,7
10/13/13,39,27,3,7,7
10/20/13,40,26,3,7,8
10/27/13,39,27,3,7,7
11/3/13,40,27,3,7,10
11/10/13,39,28,3,8,7
11/17/13,43,30,4,8,7
11/24/13,52,36,5,11,5
12/1/13,35,28,3,7,6
12/8/13,38,28,3,7,6
12/15/13,42,29,4,8,6
12/22/13,48,33,4,11,4
12/29/13,45,34,3,8,8
1/5/14,41,31,3,8,8
1/12/14,41,31,3,7,8
1/19/14,40,31,4,8,7
1/26/14,41,34,4,7,7
2/2/14,39,31,3,7,7
2/9/14,39,30,3,7,7
2/16/14,38,30,3,7,7
2/23/14,39,30,3,7,8
3/2/14,40,31,3,7,8
3/9/14,41,31,3,7,8
3/16/14,40,30,3,7,7
3/23/14,40,30,3,9,8
3/30/14,38,29,3,9,7
4/6/14,38,28,3,11,9
4/13/14,42,30,4,18,8
4/20/14,37,27,3,8,9
4/27/14,37,27,3,8,8
5/4/14,40,27,3,7,10
5/11/14,37,27,3,7,7
5/18/14,35,27,3,8,8
5/25/14,35,27,3,7,11
6/1/14,34,27,3,6,8
6/8/14,34,27,3,9,6
6/15/14,35,26,3,7,6
6/22/14,35,28,3,8,6
6/29/14,37,29,3,8,5
7/6/14,35,29,3,8,5
7/13/14,35,28,3,9,5
7/20/14,36,28,3,8,6
