TweetID,CreatedAt,Author,FollowerCount,FavoriteCount,RetweetCount,TweetText
8.52593E+17,4/13/17 18:41,The Piping Gourmets,3138,3,2,"No matter how you spell it, we're Baked Better For YouÂ®. Happy #NationalScrabbleDay #bakedbetterforyou https://t.co/UGAOGMYIn8"
8.52325E+17,4/13/17 1:00,The Piping Gourmets,3138,3,0,Are you a foodie in NYC? @guestofaguest has 10 fabulous #glutenfree spots worth checking out https://t.co/w7lYs7RHQi
8.52275E+17,4/12/17 21:39,The Piping Gourmets,3138,76,190,"We're having an eggciting Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/uGrW53O1rd"
8.51864E+17,4/11/17 18:24,The Piping Gourmets,3138,100,233,"We're having an eggciting Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/BFXAqETIg0"
8.51812E+17,4/11/17 15:00,The Piping Gourmets,3138,6,6,"Have your dish and eat it too! 16 #glutenfree dishes you can eat at almost any restaurant via @laraeparker @BuzzFeed
https://t.co/PAzpuSBcab"
8.51521E+17,4/10/17 19:44,The Piping Gourmets,3138,102,234,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/cuaGs0vECK"
8.5145E+17,4/10/17 15:00,The Piping Gourmets,3138,4,0,"This is our kind of Monday, or Tuesday, or Wednesday ... viaÂ @twitney @BuzzFeedÂ https://t.co/VPW4egIegP"
8.51149E+17,4/9/17 19:06,The Piping Gourmets,3138,115,285,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/MblqzXVEdy"
8.51102E+17,4/9/17 16:00,The Piping Gourmets,3138,5,5,The @NonGMOProject Butterfly has soared for 10 years. Learn why it's important to #GoNonGMO - like us. https://t.co/3XgHKFPrQY
8.50725E+17,4/8/17 15:00,The Piping Gourmets,3138,7,1,Surfs Up! Why pro surfer @tia_blanco chose to go vegan. via @MensJournalÂ https://t.co/9hVyU0HyWK
8.50683E+17,4/8/17 12:12,The Piping Gourmets,3138,82,182,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/BAhA2v8pFh"
8.50513E+17,4/8/17 0:58,The Piping Gourmets,3138,78,189,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/yuIJfuxAUl"
8.50455E+17,4/7/17 21:06,The Piping Gourmets,3138,5,3,Food allergies got you stuck at home? Check out @AllergyEats 2017 List of Top 10 Allergy-Friendly Restaurant ChainsÂ https://t.co/PR5qpxMqwU
8.50393E+17,4/7/17 17:00,The Piping Gourmets,3138,4,2,24 Ingredients to Avoid if Youâ€™re Living Gluten-Free (Infographic) via @ClevelandClinic https://t.co/Limg5jhrfu
8.50347E+17,4/7/17 14:00,The Piping Gourmets,3138,12,6,"While you were sleeping, we made this! _Ÿ“·Â IG user @MyGlutenFreeMiami https://t.co/BksOb197n6"
8.50187E+17,4/7/17 3:22,The Piping Gourmets,3138,0,229,"RT @PipingGourmets: We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contest #contesâ€_"
8.50119E+17,4/6/17 22:51,The Piping Gourmets,3138,119,229,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/aEiHiMnZxf"
8.50083E+17,4/6/17 20:30,The Piping Gourmets,3138,13,8,Every flavor of delicious. https://t.co/XcHbghGtgi
8.50004E+17,4/6/17 15:14,The Piping Gourmets,3138,116,237,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/BWtbADdDM4"
8.49817E+17,4/6/17 2:50,The Piping Gourmets,3138,0,237,"RT @PipingGourmets: We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contest #contesâ€_"
8.49686E+17,4/5/17 18:12,The Piping Gourmets,3138,10,18,"To enter, follow @PipingGourmets and RT the Easter Giveaway tweet.  Mentioning friends gets you extra entries.  Gooâ€_ https://t.co/J2GsSj0ANb"
8.49668E+17,4/5/17 17:00,The Piping Gourmets,3138,123,237,"We're having an egg-ceptional Easter #giveaway! Follow us, RT, tag friends &amp; enter to win a box on us. #contestâ€_ https://t.co/k8lq82tGfH"
8.49638E+17,4/5/17 15:00,The Piping Gourmets,3138,0,0,Love is in the air. Â Six places to meet your vegan match via @VegNewsÂ https://t.co/wrjCIsFgqS
8.49532E+17,4/5/17 8:00,The Piping Gourmets,3138,0,0,We're so excited to be heading 'down under' to @TheGreenEdge Vegan Cafe &amp; Shop in Brisbane https://t.co/aECapeuMjp
8.49336E+17,4/4/17 19:00,The Piping Gourmets,3138,3,3,"Triple Threat - Gluten Free, Vegan, Scrumptious. _Ÿ“· IG user @youarebeautyva https://t.co/SxzUzPuyiM"
8.4917E+17,4/4/17 8:00,The Piping Gourmets,3138,4,1,We're stoked to be hitting the vegan shelves at theÂ @CrueltyFreeShop in Australia.Â https://t.co/z0GGxjhHaZ
8.48958E+17,4/3/17 18:00,The Piping Gourmets,3138,7,8,"Drool over how we make our vegan, gluten free snack cakes onÂ @ScienceChannel's #HowItsMadeÂ https://t.co/yHSeXIPfVo"
8.48913E+17,4/3/17 15:00,The Piping Gourmets,3138,0,0,Just beautiful! Celebrate Spring with these 75 vegan recipes fromÂ @KeepinItKindÂ https://t.co/NdoU5lnosq
